technique_id,name,phases,platforms,permissions,mitre_tactic_score
T1550,Use Alternate Authentication Material,"defense-evasion,lateral-movement","Windows,SaaS,IaaS,Containers,Identity Provider,Office Suite,Linux",,4
T1597.001,Threat Intel Vendors,reconnaissance,PRE,,1
T1011,Exfiltration Over Other Network Medium,exfiltration,"Linux,macOS,Windows",,4
T1602.002,Network Device Configuration Dump,collection,Network Devices,,2
T1589,Gather Victim Identity Information,reconnaissance,PRE,,1
T1562.004,Disable or Modify System Firewall,defense-evasion,"ESXi,Linux,macOS,Network Devices,Windows",,3
T1560,Archive Collected Data,collection,"Linux,macOS,Windows",,2
T1553.003,SIP and Trust Provider Hijacking,defense-evasion,Windows,,3
T1185,Browser Session Hijacking,collection,Windows,,2
T1021,Remote Services,lateral-movement,"Linux,macOS,Windows,IaaS,ESXi",,4
T1071.003,Mail Protocols,command-and-control,"Linux,macOS,Network Devices,Windows",,4
T1556.007,Hybrid Identity,"credential-access,defense-evasion,persistence","Windows,SaaS,IaaS,Office Suite,Identity Provider",,4
T1595.002,Vulnerability Scanning,reconnaissance,PRE,,1
T1059.009,Cloud API,execution,"IaaS,Identity Provider,Office Suite,SaaS",,3
T1596,Search Open Technical Databases,reconnaissance,PRE,,1
T1218.015,Electron Applications,defense-evasion,"Linux,macOS,Windows",,3
T1562.012,Disable or Modify Linux Audit System,defense-evasion,Linux,,3
T1207,Rogue Domain Controller,defense-evasion,Windows,,3
T1553.006,Code Signing Policy Modification,defense-evasion,"Windows,macOS",,3
T1610,Deploy Container,"defense-evasion,execution",Containers,,3
T1112,Modify Registry,"defense-evasion,persistence",Windows,,3
T1543.004,Launch Daemon,"persistence,privilege-escalation",macOS,,5
T1580,Cloud Infrastructure Discovery,discovery,IaaS,,2
T1555.003,Credentials from Web Browsers,credential-access,"Linux,macOS,Windows",,4
T1574.008,Path Interception by Search Order Hijacking,"persistence,privilege-escalation,defense-evasion",Windows,,5
T1491,Defacement,impact,"Windows,IaaS,Linux,macOS,ESXi",,5
T1535,Unused/Unsupported Cloud Regions,defense-evasion,IaaS,,3
T1557.003,DHCP Spoofing,"credential-access,collection","Linux,Windows,macOS",,4
T1563,Remote Service Session Hijacking,lateral-movement,"Linux,macOS,Windows",,4
T1564.013,Bind Mounts,defense-evasion,Linux,,3
T1027.001,Binary Padding,defense-evasion,"Linux,Windows,macOS",,3
T1505.003,Web Shell,persistence,"Linux,macOS,Network Devices,Windows",,3
T1484.001,Group Policy Modification,"defense-evasion,privilege-escalation",Windows,,5
T1217,Browser Information Discovery,discovery,"Linux,macOS,Windows",,2
